geo_point_2d;Numéro ID inspection;Nom de l'installation;Commune;Code Département;Code Postal;Code NAF;SIRET;Code Régime;Libellé Régime;Directive IPPC;Code Seveso;Statut Seveso;Code Famille;Libellé Famille;Fiche URL du site;Précision des coordonnées;Code INSEE;EPCI;Département;Région
48.1230055494,3.30661290569;54.139;PSV;VERON;89;89510;52.10B;42149908800019;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=54&champEtablNumero=1390;Coordonnées précises;89443;CA du Grand Sénonais;YONNE;BOURGOGNE-FRANCHE-COMTE
48.1825872202,2.24709233609;100.1299;ORGAPHARM;PITHIVIERS;45;45300;21.10Z;47971904900021;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=100&champEtablNumero=1299;Coordonnées précises;45252;CC du Pithiverais;LOIRET;CENTRE-VAL DE LOIRE
47.4189566962,-0.619694743234;63.1363;CIM-CCMP de Bouchemaine;BOUCHEMAINE;49;49080;52.10B;57645046400077;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=63&champEtablNumero=1363;Coordonnées précises;49035;CU Angers Loire Métropole;MAINE-ET-LOIRE;PAYS DE LA LOIRE
49.4187671654,1.02800556021;58.607;BOREALIS CHIMIE;LE GRAND QUEVILLY;76;76121;20.15Z;67080242000794;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=58&champEtablNumero=607;Adresse postale;76322;Métropole Rouen Normandie;SEINE-MARITIME;NORMANDIE
45.7462149264,6.42528466894;61.4505;UGITECH;UGINE;73;73400;24.10Z;41043615800027;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=61&champEtablNumero=4505;Coordonnées précises;73303;CA Arlysère;SAVOIE;AUVERGNE-RHONE-ALPES
46.7975199748,1.63538917349;100.2251;AXEREAL;ST MAUR;36;36250;46.21Z;77556564100054;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=100&champEtablNumero=2251;Coordonnées précises;36202;CA Châteauroux Métropole;INDRE;CENTRE-VAL DE LOIRE
44.769326432,-0.76757195206;52.1183;PENA ENVIRONNEMENT;ST JEAN D ILLAC;33;33127;38.32Z;38014135800024;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=52&champEtablNumero=1183;Coordonnées précises;33422;CC Jalle-Eau-Bourde;GIRONDE;NOUVELLE-AQUITAINE
46.1525857418,1.8710082989;60.278;PICOTY;GUERET;23;23000;;;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=60&champEtablNumero=278;Centroïde Commune;23096;CA du Grand Guéret;CREUSE;NOUVELLE-AQUITAINE
49.139804803,-0.155088611671;53.526;SOLICENDRE;ARGENCES;14;14370;38.22Z;39018980100017;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=53&champEtablNumero=526;Coordonnées précises;14020;CC Val Ès Dunes;CALVADOS;NORMANDIE
43.3792354272,5.04883528561;64.11266;INEOS CHEMICALS LAVERA LPP (ICL - LPP);MARTIGUES;13;13117;;49070280000015;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=64&champEtablNumero=11266;Centroïde Commune;13056;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
44.8726296319,-0.681415748158;52.812;SAFRAN HERAKLES SAS;LE HAILLAN;33;33185;30.30Z;692023278000;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=52&champEtablNumero=812;Centroïde Commune;33200;Bordeaux Métropole;GIRONDE;NOUVELLE-AQUITAINE
43.6373158662,1.42657721944;68.2424;SOCIETE TRAITEMENTS CHIMIQUES DES METAUX;TOULOUSE;31;31200;24.43Z;64080189000040;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=68&champEtablNumero=2424;Coordonnées précises;31555;Toulouse Métropole;HAUTE-GARONNE;OCCITANIE
48.9282644243,2.22854656635;65.5519;PROTEC INDUSTRIE;BEZONS;95;95870;25.61Z;65200003500038;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=65&champEtablNumero=5519;Coordonnées précises;95063;CA Saint-Germain Boucles de Seine;VAL-D'OISE;ILE-DE-FRANCE
49.3103666934,1.00781904863;58.2648;BASF Agri-Production SAS;ST AUBIN LES ELBEUF;76;76410;20.20Z;34397909200032;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=58&champEtablNumero=2648;Adresse postale;76561;Métropole Rouen Normandie;SEINE-MARITIME;NORMANDIE
45.5700624888,4.92893333595;61.2999;TOTAL FRANCE;SERPAIZE;38;38200;;;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=61&champEtablNumero=2999;Coordonnées précises;38484;CA Vienne Condrieu;ISERE;AUVERGNE-RHONE-ALPES
47.8724888919,0.191394785722;63.1612;Sté des dépôts Pétroliers de la Sarthe;ST GERVAIS EN BELIN;72;72220;;542034921;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=63&champEtablNumero=1612;Coordonnées précises;72287;CC Orée de Bercé - Belinois;SARTHE;PAYS DE LA LOIRE
43.5103831708,1.54809268787;68.2425;TOTAL MARKETING SERVICES;ESCALQUENS;31;31750;52.10B;54203492111146;;;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=68&champEtablNumero=2425;Coordonnées précises;31169;CA du Sicoval;HAUTE-GARONNE;OCCITANIE
46.3528585189,2.60163615842;56.68;ALL'CHEM S.A;MONTLUCON;03;3100;21.10Z;38289442600016;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=56&champEtablNumero=68;Coordonnées précises;03185;CA Montluçon Communauté;ALLIER;AUVERGNE-RHONE-ALPES
44.136181253,4.61141014348;181.5;PERRET SA;TRESQUES;30;30330;46.75Z;34059614700066;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=181&champEtablNumero=50;Coordonnées précises;30331;CA du Gard Rhodanien;GARD;OCCITANIE
43.4519601276,1.62351424077;68.272;ARTERRIS;BAZIEGE;31;31450;;77558048300193;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=68&champEtablNumero=2720;Coordonnées précises;31048;CA du Sicoval;HAUTE-GARONNE;OCCITANIE
48.5971380464,7.79871984446;67.52;BOLLORE ENERGIE Strasbourg;STRASBOURG;67;67000;;61204092300932;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=67&champEtablNumero=520;Coordonnées précises;67482;Eurométropole de Strasbourg;BAS-RHIN;GRAND EST
46.1051037089,4.72524183814;106.9;CEREGRAIN DISTRIBUTION;BELLEVILLE;69;69220;;30506712600014;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=106&champEtablNumero=90;Coordonnées précises;69019;CC Saône-Beaujolais;RHONE;AUVERGNE-RHONE-ALPES
49.6078005858,3.23560643467;51.19;DOW FRANCE SAS;CHAUNY;02;2300;20.59Z;55201279100042;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=51&champEtablNumero=190;Coordonnées précises;02173;CA Chauny Tergnier la Fère;AISNE;HAUTS-DE-FRANCE
43.5303616839,1.38093630041;68.2354;LINDE France SA;PORTET SUR GARONNE;31;31122;21.20Z;39263124800086;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=68&champEtablNumero=2354;Coordonnées précises;31433;CA Le Muretain Agglo;HAUTE-GARONNE;OCCITANIE
48.3176931944,-1.20963787513;55.1436;CHIMIREC;JAVENE;35;35133;38.12Z;31018842000031;S;Autorisation avec servitudes;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=55&champEtablNumero=1436;Centroïde Commune;35137;CA Fougères Agglomération;ILLE-ET-VILAINE;BRETAGNE
48.6764157094,5.82531179739;62.17;CAL (Coopérative Lorraine-Ecrouves);ECROUVES;54;54200;46.21Z;77561483700133;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=62&champEtablNumero=170;Coordonnées précises;54174;CC Terres Touloises;MEURTHE-ET-MOSELLE;GRAND EST
48.3929631352,2.97628067998;65.1903;QUARON;MONTEREAU FAULT YONNE;77;77130;;301252870;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=65&champEtablNumero=1903;Adresse postale;77305;CC Pays de Montereau;SEINE-ET-MARNE;ILE-DE-FRANCE
49.1435790774,6.70829698906;62.1062;TPF;ST AVOLD;57;57500;20.16Z;42889111300063;;;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=62&champEtablNumero=1062;Coordonnées précises;57606;CA Saint-Avold Synergie;MOSELLE;GRAND EST
49.7660075407,2.90721616473;51.2362;AJINOMOTO FOODS EUROPE;MESNIL ST NICAISE;80;80190;;63204218000026;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=51&champEtablNumero=2362;Coordonnées précises;80542;CC de l'Est de la Somme;SOMME;HAUTS-DE-FRANCE
43.423930953,4.84371576187;64.997;LYONDELL CHIMIE SAS;FOS SUR MER;13;13270;20.14Z;33383456200022;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=64&champEtablNumero=997;Valeur Initiale;13039;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
45.5831515129,4.78774829726;61.2857;FINORGA-NOVASEP;CHASSE SUR RHONE;38;38670;21.10Z;66201932200020;A;Autorisation;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=61&champEtablNumero=2857;Coordonnées précises;38087;CA Vienne Condrieu;ISERE;AUVERGNE-RHONE-ALPES
47.2634888581,3.07142507174;251.17;ARDI S.A;GARCHY;58;58150;52.10B;41435749100045;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=251&champEtablNumero=17;Valeur Initiale;58122;CC Loire, Vignobles et Nohain;NIEVRE;BOURGOGNE-FRANCHE-COMTE
46.0132416428,3.19283704325;56.1462;LIMAGRAIN;AIGUEPERSE;63;63260;01.11Z;77563335700014;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=56&champEtablNumero=1462;Coordonnées précises;63001;CC Plaine Limagne;PUY-DE-DOME;AUVERGNE-RHONE-ALPES
48.7283411987,4.60763121951;57.1786;VIVESCIA;VITRY LE FRANCOIS;51;51300;;;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=57&champEtablNumero=1786;Coordonnées précises;51649;CC de Vitry, Champagne et Der;MARNE;GRAND EST
50.4462089293,3.27103046169;70.704;MINAKEM BEUVRY PRODUCTION;BEUVRY LA FORET;59;59310;;62200830800059;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=70&champEtablNumero=704;Coordonnées précises;59080;CC Pévèle-Carembault;NORD;HAUTS-DE-FRANCE
49.4089403391,1.01593903994;58.2058;RUBIS TERMINAL CRD;LE GRAND QUEVILLY;76;76120;52.10B;77568640500058;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=58&champEtablNumero=2058;Adresse postale;76322;Métropole Rouen Normandie;SEINE-MARITIME;NORMANDIE
46.2188585406,-0.133864030603;72.1348;RHODIA  OPERATIONS (Groupe SOLVAY);ST LEGER DE LA MARTINIERE;79;79500;20.14Z;62203708300228;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=72&champEtablNumero=1348;Coordonnées précises;79174;CC Mellois-en-Poitou;DEUX-SEVRES;NOUVELLE-AQUITAINE
50.4923878422,2.87120679438;70.589;STYROLUTION FRANCE SAS;WINGLES;62;62410;20.16Z;42865827200037;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=70&champEtablNumero=589;Coordonnées précises;62895;CA de Lens - Liévin;PAS-DE-CALAIS;HAUTS-DE-FRANCE
48.4308421755,1.45526026328;100.377;SCAEL;LUCE;28;28110;70.10Z;77557501200015;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=100&champEtablNumero=377;Coordonnées précises;28218;CA Chartres Métropole;EURE-ET-LOIR;CENTRE-VAL DE LOIRE
48.3898087261,-4.45332204809;55.595;IMPORGAL (Sté);BREST;29;29200;19.20Z;42861480400022;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=55&champEtablNumero=595;Coordonnées précises;29019;Brest Métropole;FINISTERE;BRETAGNE
44.8421561417,-0.712774690577;52.1008;SABENA TECHNICS BOD SAS;MERIGNAC;33;33693;33.16Z;48770604600025;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=52&champEtablNumero=1008;Coordonnées précises;33281;Bordeaux Métropole;GIRONDE;NOUVELLE-AQUITAINE
47.516965724,0.126662307507;63.929;CARPENTER SAS;NOYANT;49;49490;22.21Z;34794744200021;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=63&champEtablNumero=929;Adresse postale;49228;CC Baugeois Vallée;MAINE-ET-LOIRE;PAYS DE LA LOIRE
47.7619482096,7.52230971231;67.636;TYM Hombourg;HOMBOURG;68;68490;52.10B;41310378900025;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=67&champEtablNumero=636;Coordonnées précises;68144;CA Mulhouse Alsace Agglomération;HAUT-RHIN;GRAND EST
50.3786187376,3.10637800044;70.968;AIR LIQUIDE FRANCE INDUSTRIE (ALFI);WAZIERS;59;59119;;314119504;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=70&champEtablNumero=968;Coordonnées précises;59654;CA du Douaisis (C.A.D.);NORD;HAUTS-DE-FRANCE
48.6401461751,-1.98523182058;55.1525;EVTV;ST MALO;35;35400;37.00Z;31197450500035;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=55&champEtablNumero=1525;Centroïde Commune;35288;CA du Pays de Saint-Malo - Saint-Malo Agglomération;ILLE-ET-VILAINE;BRETAGNE
50.967015495,1.90054630259;70.979;INTEROR;CALAIS;62;62100;20.14Z;30506508800026;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=70&champEtablNumero=979;Coordonnées précises;62193;CA du Calaisis;PAS-DE-CALAIS;HAUTS-DE-FRANCE
43.7906027066,4.63683748913;66.5278;LA GLORIETTE DISTRIBUTION SAS;BEAUCAIRE;30;30300;;63262115700049;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=66&champEtablNumero=5278;Coordonnées précises;30032;CC Beaucaire Terre d'Argence;GARD;OCCITANIE
50.231578191,3.8963719855;70.1271;ARF;ST REMY DU NORD;59;59330;38.22Z;32899936200069;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=70&champEtablNumero=1271;Coordonnées précises;59543;CA Maubeuge Val de Sambre;NORD;HAUTS-DE-FRANCE
47.6512281644,6.10113583728;59.1288;SITA FD SAS;VAIVRE ET MONTOILLE;70;70000;38.22Z;38893526400332;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=59&champEtablNumero=1288;Coordonnées précises;70428;CA de Vesoul;HAUTE-SAONE;BOURGOGNE-FRANCHE-COMTE
50.9917116758,2.15837819394;70.1117;BASF Agri-Production;GRAVELINES;59;59820;;343979092;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=70&champEtablNumero=1117;Coordonnées précises;59273;CU de Dunkerque;NORD;HAUTS-DE-FRANCE
49.7682969929,2.90504804015;51.2404;TEREOS SYRAL SAS(ex SYRAL SAS);MESNIL ST NICAISE;80;80190;10.62Z;40313822500012;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=51&champEtablNumero=2404;Coordonnées précises;80542;CC de l'Est de la Somme;SOMME;HAUTS-DE-FRANCE
49.011560968,7.03296111921;62.7572;INEOS Polymers SARRALBE SAS;SARRALBE;57;57430;19.20Z;39286024300055;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=62&champEtablNumero=7572;Coordonnées précises;57628;CA Sarreguemines Confluences;MOSELLE;GRAND EST
48.5418231641,2.10686855587;65.4895;KMG Chemicals Inc.;ST CHERON;91;91530;;;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=65&champEtablNumero=4895;Coordonnées précises;91593;CC Le Dourdannais en Hurepoix (Ccdh);ESSONNE;ILE-DE-FRANCE
45.2640087492,5.8777289505;104.94;SOITEC;BERNIN;38;38190;26.11Z;38471190900026;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=104&champEtablNumero=94;Adresse postale;38039;CC Le Grésivaudan;ISERE;AUVERGNE-RHONE-ALPES
48.4935072938,1.57130960944;100.327;PRIMAGAZ CGP;COLTAINVILLE;28;28300;35.22Z;54208445400579;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=100&champEtablNumero=327;Coordonnées précises;28104;CA Chartres Métropole;EURE-ET-LOIR;CENTRE-VAL DE LOIRE
43.9982416708,0.357672959378;68.3076;VAL DE GASCOGNE;CONDOM;32;32100;;38206371700039;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=68&champEtablNumero=3076;Coordonnées précises;32107;CC de la Tenarèze;GERS;OCCITANIE
45.9991345515,4.74116404513;61.3871;SAS RHONE SAONE ENGRAIS;VILLEFRANCHE SUR SAONE;69;69400;;52642055900084;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=61&champEtablNumero=3871;Coordonnées précises;69264;CA Villefranche Beaujolais Saône;RHONE;AUVERGNE-RHONE-ALPES
43.4191499062,4.7349372116;64.12;M2I SALIN;ARLES;13;13104;20.13B;41821507500023;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=64&champEtablNumero=1200;Valeur Initiale;13004;CA d'Arles-Crau-Camargue-Montagnette;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
47.3904698835,1.48393072954;100.177;STORENGY;CHEMERY;41;41700;35.23Z;54210765101191;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=100&champEtablNumero=1770;Coordonnées précises;41049;CC Val-de-Cher-Controis;LOIR-ET-CHER;CENTRE-VAL DE LOIRE
45.0556225891,5.09362428928;103.57;COVESTRO ELASTOMERS;ROMANS SUR ISERE;26;26100;20.16Z;44254740200010;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=103&champEtablNumero=57;Coordonnées précises;26281;CA Valence Romans Agglo;DROME;AUVERGNE-RHONE-ALPES
48.7708840423,1.51879710079;100.374;SCAEL;MARCHEZAIS;28;28410;70.10Z;77557501200015;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=100&champEtablNumero=374;Coordonnées précises;28235;CA du Pays de Dreux;EURE-ET-LOIR;CENTRE-VAL DE LOIRE
49.4978349172,0.529774864073;58.496;EXXONMOBIL CHEMICAL FRANCE;LILLEBONNE;76;76170;20.16Z;41051210700013;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=58&champEtablNumero=496;Adresse postale;76384;CA Caux Seine Agglo;SEINE-MARITIME;NORMANDIE
43.5963939481,4.8523644677;64.909;EURENCO;ST MARTIN DE CRAU;13;13310;;440513059;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=64&champEtablNumero=909;Valeur Initiale;13097;CA d'Arles-Crau-Camargue-Montagnette;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
43.4904673984,5.18856975757;64.1012;COMPAGNIE PETROCHIMIQUE DE BERRE SAS;BERRE L ETANG;13;13130;19.20Z;40307130100044;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=64&champEtablNumero=1012;Valeur Initiale;13014;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
47.2780337116,-1.47307534917;63.4954;SYSTEME U (Haute Forêt);CARQUEFOU;44;44470;;;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=63&champEtablNumero=4954;Adresse postale;44026;Nantes Métropole;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE
47.2671573168,-1.49479577076;63.2007;AIR LIQUIDE FRANCE INDUSTRIE (Carquefou);CARQUEFOU;44;44470;20.11Z;55209628100746;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=63&champEtablNumero=2007;Coordonnées précises;44026;Nantes Métropole;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE
47.5192007447,-0.614695204613;63.1144;ZaCh System SA;AVRILLE;49;49242;20.14Z;41358103400027;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=63&champEtablNumero=1144;Coordonnées précises;49015;CU Angers Loire Métropole;MAINE-ET-LOIRE;PAYS DE LA LOIRE
