geo_point_2d;Numéro ID inspection;Nom de l'installation;Commune;Code Département;Code Postal;Code NAF;SIRET;Code Régime;Libellé Régime;Directive IPPC;Code Seveso;Statut Seveso;Code Famille;Libellé Famille;Fiche URL du site;Précision des coordonnées;Code INSEE;EPCI;Département;Région
47.9197054392,1.9547455631;100.1471;DEPOTS DE PETROLE D'ORLEANS;ST JEAN DE BRAYE;45;45800;52.10B;41125805600059;A;Autorisation;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=100&champEtablNumero=1471;Coordonnées précises;45284;Orléans Métropole;LOIRET;CENTRE-VAL DE LOIRE
44.5451354888,-0.270294483171;52.85;SYSTEME U SA;LANGON;33;33210;46.17A;30602014000126;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=52&champEtablNumero=850;Coordonnées précises;33227;CC du Sud Gironde;GIRONDE;NOUVELLE-AQUITAINE
49.1435693726,6.70861183727;62.175;TPF;ST AVOLD;57;57500;20.16Z;42889111300063;A;Autorisation;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=62&champEtablNumero=1750;Coordonnées précises;57606;CA Saint-Avold Synergie;MOSELLE;GRAND EST
48.5909794339,7.79724480366;67.46;RUBIS TERMINAL;STRASBOURG;67;67000;;54850222800313;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=67&champEtablNumero=460;Coordonnées précises;67482;Eurométropole de Strasbourg;BAS-RHIN;GRAND EST
43.7274620248,4.19293268593;66.41;SYNGENTA PRODUCTION FRANCE S.A.S;AIGUES VIVES;30;30670;;41034905400040;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=66&champEtablNumero=410;Coordonnées précises;30004;CC Rhony, Vistre, Vidourle;GARD;OCCITANIE
48.1826222653,3.27621508876;54.1278;CAPSERVAL;SENS;89;89100;;;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=54&champEtablNumero=1278;Centroïde Commune;89387;CA du Grand Sénonais;YONNE;BOURGOGNE-FRANCHE-COMTE
46.3000614813,-0.460478531295;72.1097;ARIZONA CHEMICAL SA;NIORT;79;79000;20.16Z;92602006600045;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=72&champEtablNumero=1097;Coordonnées précises;79191;CA du Niortais;DEUX-SEVRES;NOUVELLE-AQUITAINE
43.3820510025,-0.60475894473;52.2714;SPEICHIM PROCESSING;MOURENX;64;64150;20.14Z;38921885000052;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=52&champEtablNumero=2714;Coordonnées précises;64410;CC de Lacq-Orthez;PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE
50.609204184,3.05771252054;70.523;EXIDE TECHNOLOGIES SAS;LILLE;59;59020;27.20Z;68203089500143;A;Autorisation;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=70&champEtablNumero=523;Coordonnées précises;59350;Métropole Européenne de Lille;NORD;HAUTS-DE-FRANCE
49.4313997101,2.84147592703;51.1078;COLGATE PALMOLIVE;COMPIEGNE;60;60200;;55213678000061;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=51&champEtablNumero=1078;Coordonnées précises;60159;CA de la Région de Compiègne et de la Basse Automne;OISE;HAUTS-DE-FRANCE
